titolo,autore,prezzo,categoria,link_acquisto
"The Next Conversation: Argue Less, Talk More",Autore non disponibile,$15.99,psicologia,https://www.amazon.com/Next-Conversation-Argue-Less-Talk-ebook/dp/B0D57KTPT1/ref=zg_bsnr_g_11119_d_sccl_4/141-0043924-5108801?psc=1
High Functioning: Overcome Your Hidden Depression and Reclaim Your Joy,Autore non disponibile,$17.05,psicologia,https://www.amazon.com/High-Functioning-Overcome-Depression-Reclaim/dp/B0D9HPQN6M/ref=zg_bsnr_g_11119_d_sccl_5/141-0043924-5108801?isALC=true
The Art of Words: How to Use Words as the Ultimate Weapon,Autore non disponibile,$17.46,psicologia,https://www.amazon.com/Art-Words-How-Ultimate-Weapon/dp/B0DZY6VK2F/ref=zg_bsnr_g_11119_d_sccl_6/141-0043924-5108801?isALC=true
Mind Your Body: A Revolutionary Program to Release Chronic Pain and Anxiety,Autore non disponibile,$15.75,psicologia,https://www.amazon.com/Mind-Your-Body-Revolutionary-Program/dp/B0D5YTZ5N5/ref=zg_bsnr_g_11119_d_sccl_7/141-0043924-5108801?isALC=true
Forgiving as Unity with Christ: A Journey for Healing Resentment and Relationships,Autore non disponibile,$18.95,psicologia,https://www.amazon.com/Forgiving-Unity-Christ-Resentment-Relationships/dp/1682784274/ref=zg_bsnr_g_11119_d_sccl_8/141-0043924-5108801?psc=1
"The Next Conversation: Argue Less, Talk More",Autore non disponibile,$22.71,psicologia,https://www.amazon.com/Next-Conversation-Argue-Less-Talk/dp/B0D862Z269/ref=zg_bsnr_g_11119_d_sccl_9/141-0043924-5108801?psc=1
Holy Hurt: Understanding Spiritual Trauma and the Process of Healing,Autore non disponibile,$12.24,psicologia,https://www.amazon.com/Holy-Hurt-Understanding-Spiritual-Process/dp/B0F19CGG8K/ref=zg_bsnr_g_11119_d_sccl_10/141-0043924-5108801?isALC=true
Punishment-Free Parenting: The Brain-Based Way to Raise Kids Without Raising Your Voice,Autore non disponibile,$13.78,psicologia,https://www.amazon.com/Punishment-Free-Parenting-Brain-Based-Without-Raising/dp/B0D47W9S6Q/ref=zg_bsnr_g_11119_d_sccl_11/141-0043924-5108801?isALC=true
How to Fall in Love with Questions: A New Way to Thrive in Times of Uncertainty,Autore non disponibile,$21.25,psicologia,https://www.amazon.com/How-Fall-Love-Questions-Uncertainty/dp/B0D9PKGN8L/ref=zg_bsnr_g_11119_d_sccl_12/141-0043924-5108801?isALC=true
Free to Fly: The Secret to Fostering Independence in the Next Generation,Autore non disponibile,$26.00,psicologia,https://www.amazon.com/Free-Fly-Fostering-Independence-Generation/dp/1637633777/ref=zg_bsnr_g_11119_d_sccl_13/141-0043924-5108801?psc=1
Demystifying Misophonia: A Holistic Approach to Finding Freedom,Autore non disponibile,$18.00,psicologia,https://www.amazon.com/Demystifying-Misophonia-Holistic-Approach-Finding/dp/1643435221/ref=zg_bsnr_g_11119_d_sccl_14/141-0043924-5108801?psc=1
How to Overcome Overthinking: Calm Your Mind and Find Peace Now,Autore non disponibile,$0.99,psicologia,https://www.amazon.com/How-Overcome-Overthinking-Calm-Peace-ebook/dp/B0F259NC7C/ref=zg_bsnr_g_11119_d_sccl_15/141-0043924-5108801?psc=1
"The Polyvagal Theory Workbook for Trauma: Body-Based Activities to Regulate, Rebalance, and Rewire Your Nervous System Withou",Autore non disponibile,$23.36,psicologia,https://www.amazon.com/Polyvagal-Theory-Workbook-Trauma-Body-Based/dp/1648484166/ref=zg_bsnr_g_11119_d_sccl_16/141-0043924-5108801?psc=1
"The Absent Father Effect on Daughters: Father Desire, Father Wounds",Autore non disponibile,$12.24,psicologia,https://www.amazon.com/Absent-Father-Effect-Daughters-Desire/dp/B0DZ8NBH1S/ref=zg_bsnr_g_11119_d_sccl_17/141-0043924-5108801?isALC=true
"The Instability of Truth: Brainwashing, Mind Control, and Hyper-Persuasion",Autore non disponibile,$18.90,psicologia,https://www.amazon.com/Instability-Truth-Brainwashing-Control-Hyper-Persuasion/dp/B0DS3YGHS6/ref=zg_bsnr_g_11119_d_sccl_18/141-0043924-5108801?isALC=true
"Validation: How the Skill Set That Revolutionized Psychology Will Transform Your Relationships, Increase Your Influence, and",Autore non disponibile,$15.75,psicologia,https://www.amazon.com/Validation-Revolutionized-Psychology-Transform-Relationships/dp/B0D5YW8PCR/ref=zg_bsnr_g_11119_d_sccl_19/141-0043924-5108801?isALC=true
With Love from a Children's Therapist: #lessonsihavelearnedalongtheway,Autore non disponibile,$18.04,psicologia,https://www.amazon.com/Love-Childrens-Therapist-lessonsihavelearnedalongtheway/dp/1964251516/ref=zg_bsnr_g_11119_d_sccl_20/141-0043924-5108801?psc=1
Body-First Healing: Get Unstuck and Recover from Trauma with Somatic Healing,Autore non disponibile,$18.86,psicologia,https://www.amazon.com/Body-First-Healing-Unstuck-Recover-Somatic/dp/0593718658/ref=zg_bsnr_g_11119_d_sccl_21/141-0043924-5108801?psc=1
"Holistically Treating Complex PTSD: A Six-Dimensional Approach: Guidance for Therapists, Coaches, and Other Helpers to Repair",Autore non disponibile,$15.30,psicologia,https://www.amazon.com/Holistically-Treating-Complex-PTSD-Six-Dimensional/dp/B0F2GKC4GM/ref=zg_bsnr_g_11119_d_sccl_22/141-0043924-5108801?isALC=true
The Evidence for Psychodynamic Psychotherapy: A Contemporary Introduction (Routledge Introductions to Contemporary Psychoanal,Autore non disponibile,$23.19,psicologia,https://www.amazon.com/Evidence-Psychodynamic-Psychotherapy-Introductions-Psychoanalysis/dp/1032346418/ref=zg_bsnr_g_11119_d_sccl_23/141-0043924-5108801?psc=1
Polywise: A Deeper Dive into Navigating Open Relationships,Autore non disponibile,$13.18,psicologia,https://www.amazon.com/Polywise-Deeper-Dive-Navigating-Relationships/dp/B0F3Y2BBZ1/ref=zg_bsnr_g_11119_d_sccl_24/141-0043924-5108801?isALC=true
"Buddha's Brain: The Practical Neuroscience of Happiness, Love & Wisdom",Autore non disponibile,$22.04,psicologia,https://www.amazon.com/Buddhas-Brain-Practical-Neuroscience-Happiness/dp/B0DWB3DC6H/ref=zg_bsnr_g_11119_d_sccl_25/141-0043924-5108801?isALC=true
Now It All Makes Sense: How An ADHD Diagnosis Brought Clarity to My Life,Autore non disponibile,$15.88,psicologia,https://www.amazon.com/Now-All-Makes-Sense-Diagnosis/dp/B0DDZ7VLQB/ref=zg_bsnr_g_11119_d_sccl_26/141-0043924-5108801?isALC=true
Cults Like Us: Why Doomsday Thinking Drives America,Autore non disponibile,$17.05,psicologia,https://www.amazon.com/Cults-Like-Us-Doomsday-Thinking/dp/B0DJDNX6XG/ref=zg_bsnr_g_11119_d_sccl_27/141-0043924-5108801?isALC=true
Spiritual Intelligence: Activating the 4 Circuits of the Awakened Brain,Autore non disponibile,$29.00,psicologia,https://www.amazon.com/Spiritual-Intelligence-Activating-Circuits-Awakened/dp/160415294X/ref=zg_bsnr_g_11119_d_sccl_28/141-0043924-5108801?psc=1
Let Them: A Guide to Embracing Authenticity and Inner Peace,Autore non disponibile,$6.08,psicologia,https://www.amazon.com/Let-Them-Guide-Embracing-Authenticity/dp/B0DYWG4DFG/ref=zg_bsnr_g_11119_d_sccl_29/141-0043924-5108801?isALC=true
"Me, but Better",Autore non disponibile,$13.12,psicologia,https://www.amazon.com/Audible-Me-But-Better/dp/B0D7WF67H4/ref=zg_bsnr_g_11119_d_sccl_30/141-0043924-5108801?isALC=true
Abundance,Autore non disponibile,$13.12,società,https://www.amazon.com/Audible-Abundance-What-Progress-Takes/dp/B0C7Y68VWT/ref=zg_bsnr_g_3377866011_d_sccl_1/144-8079262-1038557?isALC=true
Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,Autore non disponibile,$11.81,società,https://www.amazon.com/Everything-Tuberculosis-Persistence-Deadliest-Infection/dp/B0DK2G4D48/ref=zg_bsnr_g_3377866011_d_sccl_2/144-8079262-1038557?isALC=true
